1000 1670
item1 1193 1565
item2 1434 353
item3 612 1675
item4 1715 2392
item5 496 767
item6 1296 625
item7 2791 2147
item8 1384 2475
item9 2894 125
item10 1520 2161
item11 282 726
item12 2048 2328
item13 1233 1294
item14 2228 1484
item15 2919 274
item16 204 2607
item17 458 1578
item18 1257 2455
item19 109 2562
item20 2661 2683
item21 1156 576
item22 2039 2966
item23 1995 2115
item24 1271 1044
item25 2178 2316
item26 2306 2292
item27 2646 371
item28 2152 820
item29 3 1892
item30 1890 2625
item31 1239 264
item32 1106 962
item33 305 2903
item34 1718 1104
item35 1511 1955
item36 2110 842
item37 2240 2065
item38 1060 2847
item39 556 1453
item40 1809 368
item41 1103 978
item42 1350 1356
item43 447 496
item44 529 1186
item45 1436 976
item46 1999 110
item47 1787 280
item48 405 2359
item49 2389 2660
item50 2122 1378
item51 2837 751
item52 1416 2845
item53 773 2115
item54 816 1363
item55 1722 1690
item56 1756 1839
item57 2652 2764
item58 534 730
item59 1670 2100
item60 628 1333
item61 2996 1949
item62 2103 1489
item63 91 832
item64 1615 2314
item65 2387 2315
item66 225 339
item67 1455 1502
item68 756 1979
item69 2791 890
item70 1642 1192
item71 1097 1882
item72 2523 2736
item73 68 904
item74 904 2128
item75 2575 1003
item76 2954 512
item77 1881 793
item78 2342 176
item79 2995 1087
item80 129 2155
item81 1760 734
item82 2950 2661
item83 1952 1734
item84 2075 2654
item85 2031 121
item86 153 1098
item87 720 1906
item88 380 2952
item89 1426 856
item90 566 2243
item91 2483 1928
item92 410 585
item93 435 1082
item94 1641 2856
item95 2807 1355
item96 860 1362
item97 1747 1464
item98 540 790
item99 468 2459
item100 2203 1553
item101 2537 881
item102 1118 2262
item103 1495 1200
item104 1512 1073
item105 591 2258
item106 2351 1076
item107 1402 2704
item108 328 1335
item109 989 595
item110 2944 1623
item111 2069 2998
item112 1289 2625
item113 2635 1018
item114 1019 1811
item115 1978 1234
item116 1886 2553
item117 937 1001
item118 831 588
item119 1427 1655
item120 2174 1066
item121 2150 1065
item122 2270 2537
item123 2459 455
item124 403 2719
item125 2837 2662
item126 159 2489
item127 702 51
item128 1842 323
item129 1261 1710
item130 1487 1255
item131 1265 2295
item132 2119 1580
item133 1923 2304
item134 2113 1957
item135 19 249
item136 2637 1343
item137 1966 1103
item138 358 937
item139 809 1415
item140 2027 1559
item141 979 2527
item142 859 391
item143 1124 1415
item144 454 2719
item145 1409 2429
item146 2289 505
item147 1958 1222
item148 2864 477
item149 2722 1225
item150 2602 1999
item151 1666 225
item152 1805 2545
item153 1926 2213
item154 2502 752
item155 1258 658
item156 405 754
item157 1939 868
item158 1456 2976
item159 2684 1715
item160 1163 2227
item161 2218 377
item162 2195 2852
item163 984 1283
item164 1280 2221
item165 1667 1556
item166 600 1424
